name,barcode,order,quantity,
CST-1370:14.2,8592165106038,from stock,0,
CST-1370:15.2,8592165093024,from stock,0,
CST-1370:16.2,8592165022345,from stock,0,
CST-1370:17.2,8592165122342,from stock,0,
CST-1371:14.2,8592165106151,from stock,0,
CST-1371:15.2,8592165046372,from stock,0,
CST-1372:17.2,8592165066998,from stock,0,
CST-1373:16.2,8592165115641,from stock,0,
CST-1381:15.1,8592165119311,from stock,0,
CST-1401:13.1,8592165092683,from stock,0,
CST-1401:14.1,8592165039008,from stock,0,
CST-1401:15.1,8592165056524,from stock,0,
CST-1404:15.2,8592165100937,from stock,0,
CST-1404:16.2,8592165100944,from stock,0,
CST-1404:17.2,8592165100951,from stock,0,
CST-1407:10.2,8592165118192,from stock,0,
CST-1423:17.2,8592165085951,from stock,0,
CST-1441:12.1,8592165073309,from stock,0,
CST-1441:13.1,8592165028507,from stock,0,
CST-1441:14.1,8592165016481,from stock,0,
CST-1441:15.1,8592165028569,from stock,0,
CST-1442:13.1,8592165100968,from stock,0,
CST-1442:13.2,8592165114200,from stock,0,
CST-1442:14.1,8592165100982,from stock,0,
CST-1443:13.1,8592165102573,from stock,0,
CST-1443:14.1,8592165102580,from stock,0,
CST-1-445:10.1,8592165109138,from stock,0,
CST-1-445:11.1,8592165109114,from stock,0,
CST-1445:12.1,8592165015699,from stock,0,
CST-1445:13.1,8592165015705,from stock,0,
CST-1445:14.1,8592165015712,from stock,0,
CST-1446:13.1,8592165093031,from stock,0,
CST-1448:14.2,8592165106410,from stock,0,
CST-1448:15.2,8592165039015,from stock,0,
CST-1503:12.2,8592165118239,from stock,0,
CST-1515:14.2,8592165106618,from stock,0,
CST-1515:15.2,8592165106304,from stock,0,
CST-1529:16.2,8592165106045,from stock,0,
CST-1529:17.2,8592165028965,from stock,0,
CST-1531:15.2,8592165092690,from stock,0,
CST-1535:14.2,8592165106359,from stock,0,
CST-1535:15.2,8592165028972,from stock,0,
CST-1536:14.1,8592165073316,from stock,0,
CST-1536:15.1,8592165092706,from stock,0,
CST-1536:16.1,8592165092713,from stock,0,
CST-1537:14.2,8592165120997,from stock,0,
CST-1537:15.2,8592165093048,from stock,0,
CST-1537:16.2,8592165046389,from stock,0,
CST-1537:17.2,8592165046396,from stock,0,
CST-1538:13.2,8592165106335,from stock,0,
CST-1538:14.2,8592165109916,from stock,0,
CST-1538:15.2,8592165073323,from stock,0,
CST-1539:14.2,8592165112053,from stock,0,
CST-1550:13.1,8592165120966,from stock,0,
CST-1550:14.1,8592165093116,from stock,0,
CST-1550:14.2,8592165114866,from stock,0,
CST-1554:13.1,8592165073330,from stock,0,
CST-1554:13.2,8592165106366,from stock,0,
CST-1554:14.2,8592165106168,from stock,0,
CST-1559:14.2,8592165109930,from stock,0,
CST-1565:12.1,8592165044248,from stock,0,
CST-1565:13.1,8592165028057,from stock,0,
CST-1565:14.1,8592165028064,from stock,0,
CST-1565:15.1,8592165044255,from stock,0,
CST-1573:12.2,8592165105895,from stock,0,
CST-1573:13.2,8592165103648,from stock,0,
CST-1573:14.2,8592165106427,from stock,0,
CST-1577:15.1,8592165039022,from stock,0,
CST-1577:15.2,8592165067100,from stock,0,
CST-1579:15.1,8592165092720,from stock,0,
CST-1579:15.2,8592165067117,from stock,0,
CST-1579:16.1,8592165092737,from stock,0,
CST-1579:16.2,8592165046402,from stock,0,
CST-1579:17.1,8592165092744,from stock,0,
CST-1579:17.2,8592165046419,from stock,0,
CST-1581:14.2,8592165105949,from stock,0,
CST-1581:16.2,8592165032986,from stock,0,
CST-1581:17.2,8592165114873,from stock,0,
CST-1586:15.2,8592165067131,from stock,0,
CST-1586:16.2,8592165046426,from stock,0,
CST-1586:17.2,8592165100487,from stock,0,
CST-1587:19.2,8592165117485,from stock,0,
CST-1587:20.2,8592165105963,from stock,0,
CST-1590:12.1,8592165028989,from stock,0,
CST-1590:13.1,8592165014418,from stock,0,
CST-1590:14.1,8592165014425,from stock,0,
CST-1590:15.1,8592165044262,from stock,0,
CST-1591:15.2,8592165106311,from stock,0,
CST-1591:16.2,8592165088006,from stock,0,
CST-1591:17.1,8592165121772,from stock,0,
CST-1592:13.1,8592165092751,from stock,0,
CST-1592:14.1,8592165073347,from stock,0,
CST-1592:15.1,8592165092768,from stock,0,
CST-1593:14.1,8592165092775,from stock,0,
CST-1595:16.2,8592165100494,from stock,0,
CST-1899:10.1,8592165067179,from stock,0,
CST-1899:11.1,8592165030531,from stock,0,
CST-1899:13.1,8592165106526,from stock,0,
CST-1900:12.1,8592165015590,from stock,0,
CST-1900:13.1,8592165015606,from stock,0,
CST-1900:14.1,8592165014432,from stock,0,
CST-1900:14.2,8592165067223,from stock,0,
CST-1901:12.1,8592165015729,from stock,0,
CST-1901:13.1,8592165012124,from stock,0,
CST-1901:14.1,8592165012131,from stock,0,
CST-1901:15.1,8592165012148,from stock,0,
CST-1901:16.1,8592165044125,from stock,0,
CST-1901:17.1,8592165107134,from stock,0,
CST-1902:13.1,8592165028514,from stock,0,
CST-1902:13.2,8592165067285,from stock,0,
CST-1902:14.1,8592165045306,from stock,0,
CST-1902:14.2,8592165053035,from stock,0,
CST-1902:15.1,8592165012155,from stock,0,
CST-1902:15.2,8592165054742,from stock,0,
CST-1902:16.1,8592165046594,from stock,0,
CST-1902:16.2,8592165067292,from stock,0,
CST-1902:17.1,8592165012162,from stock,0,
CST-1902:17.2,8592165047171,from stock,0,
